,CD,Year_Month,Year,Month,Count
0,BK01,2016-11,2016,11,50
1,BK01,2016-12,2016,12,36
2,BK01,2017-01,2017,1,51
3,BK01,2017-02,2017,2,61
4,BK01,2017-03,2017,3,67
5,BK01,2017-04,2017,4,69
6,BK01,2017-05,2017,5,66
7,BK01,2017-06,2017,6,84
8,BK01,2017-07,2017,7,82
9,BK01,2017-08,2017,8,83
10,BK01,2017-09,2017,9,92
11,BK01,2017-10,2017,10,101
12,BK01,2017-11,2017,11,46
13,BK01,2017-12,2017,12,57
14,BK01,2018-01,2018,1,48
15,BK01,2018-02,2018,2,62
16,BK01,2018-03,2018,3,64
17,BK01,2018-04,2018,4,69
18,BK01,2018-05,2018,5,75
19,BK01,2018-06,2018,6,99
20,BK01,2018-07,2018,7,117
21,BK01,2018-08,2018,8,108
22,BK01,2018-09,2018,9,121
23,BK01,2018-10,2018,10,84
24,BK01,2018-11,2018,11,63
25,BK01,2018-12,2018,12,60
26,BK01,2019-01,2019,1,72
27,BK01,2019-02,2019,2,84
28,BK01,2019-03,2019,3,81
29,BK01,2019-04,2019,4,102
30,BK01,2019-05,2019,5,79
31,BK01,2019-06,2019,6,82
32,BK01,2019-07,2019,7,1
33,BK01,2019-08,2019,8,79
34,BK01,2019-09,2019,9,62
35,BK01,2019-10,2019,10,63
36,BK01,2019-11,2019,11,53
37,BK01,2019-12,2019,12,45
38,BK01,2020-01,2020,1,58
39,BK01,2020-02,2020,2,44
40,BK01,2020-03,2020,3,35
41,BK01,2020-04,2020,4,43
42,BK01,2020-05,2020,5,60
43,BK01,2020-06,2020,6,68
44,BK01,2020-07,2020,7,77
45,BK01,2020-08,2020,8,86
46,BK01,2020-09,2020,9,75
47,BK01,2020-10,2020,10,76
48,BK01,2020-11,2020,11,47
49,BK01,2020-12,2020,12,42
50,BK01,2021-01,2021,1,51
51,BK01,2021-02,2021,2,48
52,BK01,2021-03,2021,3,133
53,BK01,2021-04,2021,4,105
54,BK01,2021-05,2021,5,125
55,BK01,2021-06,2021,6,128
56,BK01,2021-07,2021,7,130
57,BK01,2021-08,2021,8,185
58,BK01,2021-09,2021,9,178
59,BK01,2021-10,2021,10,155
60,BK02,2016-11,2016,11,39
61,BK02,2016-12,2016,12,32
62,BK02,2017-01,2017,1,32
63,BK02,2017-02,2017,2,28
64,BK02,2017-03,2017,3,47
65,BK02,2017-04,2017,4,49
66,BK02,2017-05,2017,5,35
67,BK02,2017-06,2017,6,51
68,BK02,2017-07,2017,7,42
69,BK02,2017-08,2017,8,35
70,BK02,2017-09,2017,9,39
71,BK02,2017-10,2017,10,38
72,BK02,2017-11,2017,11,20
