Community District,District Currently Eligible for Service,District Currently Receiving Service,Total Number of Addresses in District,Total Number of Households in District,Total Number of Interested Addresses,Percent of Interested Addresses,Total Number of Addresses Receiving Service,Percent of Addresses Receiving Service,"Total Number of Addresses Waiting to be Routed, Not Yet Receiving Service","Percent of Addresses Waiting to be Routed, Not Yet Receiving Service",Total Number of Addresses Not Yet Ready for Service,Percent of Addresses Not Yet Ready for Service,Total Number of Interested Households,Percent of Interested Households,Total Number Households Receiving Service,Percent of Households Receiving Service,"Total Number of Households Waiting to be Routed, Not Yet Receiving Service","Percent of Households Waiting to be Routed, Not Yet Receiving Service",Total Number of Households Not Yet Ready for Service,Percent of Households Not Yet Ready for Service
BK01,true,true,14904,92610,2136,0.143,"1,734",11.6%,2,0.01%,400,2.7%,26909,0.291,"9,745",10.5%,10,0.01%,400,0.4%
BK02,true,true,8205,70151,2168,0.264,"1,819",22.2%,0,0,349,4.3%,39144,0.558,"14,585",20.8%,0,0,349,0.5%
BK03,false,false,16865,73568,1665,0.099,NA,NA,NA,NA,NA,NA,9521,0.129,NA,NA,NA,NA,NA,NA
BK04,false,false,11183,45324,920,0.082,NA,NA,NA,NA,NA,NA,6915,0.153,NA,NA,NA,NA,NA,NA
BK05,false,false,20970,67699,147,0.007,NA,NA,NA,NA,NA,NA,1697,0.025,NA,NA,NA,NA,NA,NA
BK06,true,true,13819,55816,4353,0.315,"4,144",30.0%,3,0.0%,206,1.5%,22234,0.398,"16,236",29.1%,7,0.01%,206,0.4%
BK07,true,true,13316,42166,1972,0.148,"1,868",14.0%,0,0,104,0.8%,9630,0.228,"6,442",15.3%,0,0,104,0.2%
BK08,false,false,8024,48712,1253,0.156,NA,NA,NA,NA,NA,NA,17863,0.367,NA,NA,NA,NA,NA,NA
BK09,false,false,6956,40967,593,0.085,NA,NA,NA,NA,NA,NA,14065,0.343,NA,NA,NA,NA,NA,NA
BK10,true,false,17080,53630,925,0.054,NA,NA,815,4.8%,110,0.6%,8497,0.158,NA,NA,"1,927",3.6%,110,0.2%
BK11,true,false,21810,66719,303,0.014,NA,NA,277,1.3%,26,0.1%,1970,0.03,NA,NA,633,0.9%,26,0.0%
BK12,true,false,19331,62497,513,0.027,NA,NA,422,2.2%,91,0.5%,7451,0.119,NA,NA,"1,842",2.9%,91,0.1%
BK13,true,false,6751,47398,118,0.017,NA,NA,80,1.2%,38,0.6%,11807,0.249,NA,NA,224,0.5%,38,0.1%
BK14,false,false,11695,63024,641,0.055,NA,NA,NA,NA,NA,NA,12912,0.205,NA,NA,NA,NA,NA,NA
BK15,true,false,23333,65323,382,0.016,NA,NA,338,1.4%,44,0.2%,5264,0.081,NA,NA,548,0.8%,44,0.1%
BK16,true,false,8130,39094,214,0.026,NA,NA,191,2.3%,23,0.3%,4920,0.126,NA,NA,657,1.7%,23,0.1%
BK17,false,false,18258,60208,263,0.014,NA,NA,NA,NA,NA,NA,3374,0.056,NA,NA,NA,NA,NA,NA
BK18,false,false,35597,65610,224,0.006,NA,NA,NA,NA,NA,NA,1091,0.017,NA,NA,NA,NA,NA,NA
BX01,true,false,4006,43509,72,0.018,NA,NA,47,1.2%,25,0.6%,4216,0.097,NA,NA,201,0.5%,25,0.1%
BX02,true,false,2990,20628,49,0.016,NA,NA,31,1.0%,18,0.6%,1411,0.068,NA,NA,157,0.8%,18,0.1%
BX03,true,false,3691,36126,48,0.013,NA,NA,35,0.9%,13,0.4%,1071,0.03,NA,NA,103,0.3%,13,0.0%
BX04,true,false,3364,54550,82,0.024,NA,NA,39,1.2%,43,1.3%,4311,0.079,NA,NA,"1,340",2.5%,43,0.1%
BX05,true,false,3278,52332,52,0.016,NA,NA,28,0.9%,24,0.7%,1686,0.032,NA,NA,197,0.4%,24,0.0%
BX06,true,false,4148,34889,72,0.017,NA,NA,40,1.0%,32,0.8%,1757,0.05,NA,NA,149,0.4%,32,0.1%
BX07,true,false,3606,53276,135,0.037,NA,NA,47,1.3%,88,2.4%,7902,0.148,NA,NA,321,0.6%,88,0.2%
BX08,true,true,4987,45571,725,0.145,591,11.9%,0,0.0%,134,2.7%,20038,0.44,"8,527",18.7%,0,0,134,0.3%
BX09,true,false,11016,66237,176,0.016,NA,NA,142,1.3%,34,0.3%,18644,0.281,NA,NA,501,0.8%,34,0.1%
BX10,true,false,15217,50092,453,0.03,NA,NA,427,2.8%,26,0.2%,2244,0.045,NA,NA,"1,673",3.3%,26,0.1%
BX11,true,false,12713,52758,318,0.025,NA,NA,274,2.2%,44,0.3%,14325,0.272,NA,NA,445,0.8%,44,0.1%
BX12,true,false,20639,55877,391,0.019,NA,NA,369,1.8%,22,0.1%,4006,0.072,NA,NA,733,1.3%,22,0.0%
MN01,true,false,1455,43777,217,0.149,NA,NA,69,4.7%,148,10.2%,33163,0.758,NA,NA,"4,906",11.2%,148,0.3%
MN02,true,false,4703,60499,639,0.136,NA,NA,230,4.9%,409,8.7%,26472,0.438,NA,NA,"5,488",9.1%,409,0.7%
