PropNum,Prop ID,Boro,AMPSDistrict,Prop Name,Site Name,Prop Location,Site Location,Acres,Category,Sub-Category,Rated,Reason Not Rated,Council District,ZipCode,COMMUNITYBOARD,Jurisdiction,NYSAssembly,NYSSenate,USCongress,Precinct,ComfortStation,PermitDistrict,GISBoro,GIS Site Location
M104,M104-ZN04,M,11R,Randall's Island Park,,East River and Harlem River,"S Of Ballfields, West Of Sunken Meadow And DEP Plant, N Of Odyssey House Complex",50.471,Large Park,Flagship Park Zone,1,,,,,DPR,,,,,0,,,
B443,B443,B,05,Atkins Gardeners,,Atkins Ave. between Belmont Ave. and Pitkin Ave.,Atkins Ave. between Belmont Ave. and Pitkin Ave.,0.068,Small Park,Greenthumb,0,,,,,DPR,,,,,0,,,
B222,B222,B,02,Pierrepont Playground,,"bet. Pierrepont Pl., Pierrepont St. and the BQE","bet. Pierrepont Pl., Pierrepont St. and the BQE",0.503,Small Park,Neighborhood Plgd,1,,,,,DPR,,,,,1,,,
QZ106,QZ106,Q,13,Greenstreet,,121 AV & 233 ST,121 AV & 233 ST,0.033,Greenstreet,Type 1,0,"Just trees (type 2), retired. Inspectors mistakenly rating QZ600 5/27/14 AB.",,,,DOT,,,,,0,,,
XZ503,XZ503,X,06,GREENSTREET,,Oak Tree Place and Hughes Avenue,Oak Tree Place and Hughes Avenue,0.004,Greenstreet,,0,,,,,DOT,,,,,0,,,
X034,X034-ZN02,X,04,Mullaly Park,,Jerome Av to River Av bet. E 164 St and McClellan St at Cromwell Ave,"McClellan St, E165 St, Jerome Ave, River Ave",10.093,Large Park,Large Park Zone,1,,,,,DPR,,,,,0,,,
B169,B169-ZN07A,B,13,Coney Island Beach & Boardwalk,,"Corbin Pl. to W. 37 St., Boardwalk",W 25th St To W 29th St,9.605,Large Park,Beach Zone,1,,,,,DPR,,,,,1,,,
XS021,XS021,X,09,I.S. 123,,Watson Ave. bet.ween Stratford Ave. and Morrison Ave.,Watson Ave. bet.ween Stratford Ave. and Morrison Ave.,0.73,,,0,,,,,DOE,,,,,0,,,
X147A,X147A-ZN01,X,14,Starlight Park,,"Sheridan Exwy. bet. E. 174 St., E. 172 St. and Jennings St.","E 172 To Bridge N/o E 174 Sts, Sheridan Exwy, Bronx River",7.343,Large Park,Large Park Zone,1,,,,,DPR,,,,,0,,,
B169,B169-ZN01A,B,13,Coney Island Beach & Boardwalk,,"Corbin Pl. to W. 37 St., Boardwalk",Corbin Pl To Seacoast Ter,6.55,Large Park,Beach Zone,1,,,,,DPR,,,,,0,,,
B102,B102,B,02,Crispus Attucks Playground,,Classon Ave. bet. Fulton St. and Lefferts Pl.,Classon Ave. bet. Fulton St. and Lefferts Pl.,0.934,Small Park,Neighborhood Plgd,1,,,,,DPR,,,,,1,,,
QZ395,QZ395,Q,08,Greenstreet,,Main St Bet Jewel Av & 70 Rd (2),Main St Bet Jewel Av & 70 Rd (2),0.109,Greenstreet,Type 2,0,Just trees (type 2).,,,,DOT,,,,,0,,,
X187,X187-01,X,12,Givan Square,,E. Gunhill Rd. and Eastchester Rd. bet. Arnow Ave. and Adee Ave..,"E Gun Hill & Eastchester Rds, Arnow Ave, O'Neill Pl",1.844,Small Park,Neighborhood Plgd,1,,,,,DPR,,,,,1,,,
