NYC DEPARTMENT OF SANITATION PUBLIC SPACE RECYCLING SITE LIST,,,,,,,,,
SITE INFORMATION AND RECEPTACLE COUNT IS CURRENT AS OF THE FOLLOWING DATE,,,,,,,9/5/2018,,
,,,,,PUBLIC SPACE RECYCLING RECEPTACLE TOTAL (DSNY+PRIVATE),,2602,,
,,,,,PUBLIC SPACE RECYCLING RECEPTACLE TOTAL (DSNY ONLY),,2153,,
,,,,,PUBLIC SPACE RECYCLING PAPER RECEPTACLE TOTAL (DSNY ONLY),,1064,,
,,,,,PUBLIC SPACE RECYCLING MGP RECEPTACLE TOTAL (DSNY ONLY),,1089,,
,,,,,PRIVATE PUBLIC SPACE RECYCLING RECEPTACLES,,449,,
BOROUGH,,,,,"# DSNY RECEPTACLE SITES
(PRIVATE LOCATIONS NOT INCLUDED)",,# OF RECEPTACLES,,
MANHATTAN,,,,,241,,714,,
BRONX,,,,,50,,256,,
BROOKLYN NORTH,,,,,66,,194,,
BROOKLYN SOUTH,,,,,115,,307,,
QUEENS WEST,,,,,57,,152,,
QUEENS EAST,,,,,101,,267,,
STATEN ISLAND,,,,,74,,263,,
CITYWIDE TOTAL,,,,,704,,2153,,
,,,,,"Locations Highlighted in Yellow Are the ""New Style Silve Bullet"" Style Receptacles",,,,
,,,,,MANHATTAN DSNY PUBLIC SPACE RECYCLING SITES,,,,
,ZONE,DISTRICT,TYPE,STYLE,PLACED,SITE NAME/ BASKET LOCATION,PARTNER (IF ANY),P#A POEFR,#M OGFP
1,MAN,M01,CITY AGENCY,NEW,2017,31 CHAMBERS STREET,DCAS - 31 CHAMBERS ST,1,1
2,MAN,M01,CITY AGENCY,NEW,2017,100 GOLD STREET,DCAS - 100 GOLD STREET,2,2
3,MAN,M01,CITY AGENCY,NEW,2017,253 BROADWAY,DCAS - 253 BROADWAY,1,1
4,MAN,M01,CITY AGENCY,NEW,2017,CENTRE ST AND CHAMBERS ST,DCAS - 1 CENTRE ST,1,1
5,MAN,M01,CITY AGENCY,NEW,2017,SOUTH ENTRANCE IN PLAZA,DCAS - 1 CENTRE ST,1,1
6,MAN,M01,CITY AGENCY,NEW,2017,NORTH SIDE OUTDOOR FOOD COURT,DCAS - 1 CENTRE ST,1,1
7,MAN,M01,CITY AGENCY,NEW,2017,SOUTH SIDE OUTDOOR FOOD COURT,DCAS - 1 CENTRE ST,1,1
8,MAN,M01,CITY AGENCY,NEW,2017,INSIDE BUILDING,DCAS - 80 CENTRE ST,1,1
9,MAN,M01,CITY AGENCY,NEW,2017,CORNER OF CENTRE ST AND WHITE ST,DCAS - 137 CENTRE ST,1,1
10,MAN,M01,CITY AGENCY,NEW,2017,CORNER OF LAFAYETTE ST AND LEONARD ST,DCAS - 60 LAFAYETTE ST,1,1
11,MAN,M01,DISTRICT,NEW,2008,N/W/C CHAMBERS ST & GREENWICH ST,N/A,1,1
12,MAN,M01,PARK,NEW,2008,LAFAYETTE AND DUANE ST,NYC PARKS - THOMAS PAINE PARK,1,1
15,MAN,M01,PARK,NEW,2017,PIER 25 (MINI GOLF AND SKATE PARK),HUDSON RIVER PARK TRUST,0,2
16,MAN,M01,PARK,NEW,2017,PIER 25 (PLAYGROUND WEST GATE),HUDSON RIVER PARK TRUST,0,1
17,MAN,M01,PARK,NEW,2017,PIER 25 (WEST END),HUDSON RIVER PARK TRUST,0,1
18,MAN,M01,PARK,NEW,2017,HARRISON ST BASKETBALL CT,HUDSON RIVER PARK TRUST,0,1
