,Unnamed: 0,borocd,pct_bach_deg,over65_rate,under18_rate,pct_white_nh,poverty_rate,pct_hh_rent_burd,mean_commute,unemployment,crime_per_1000,pop_density,month,borough_no,cd,borough_code,community_district
0,0,201,11.3,9.0,29.7,2.1,32.3,49.4,42.5,6.4,21.7,42230.049029041074,2016-11-01,2,01,BX,BX01
1,1,202,14.2,9.2,27.5,1.9,32.3,53.8,44.9,6.4,12.3,23547.03918706552,2016-11-01,2,02,BX,BX02
2,2,203,14.1,9.2,29.1,1.2,31.4,48.0,43.9,6.6,13.6,49616.35494469157,2016-11-01,2,03,BX,BX03
3,3,206,12.6,9.6,28.3,6.1,31.4,55.1,44.4,8.4,12.0,54409.27231300429,2016-11-01,2,06,BX,BX06
4,4,204,15.8,9.7,27.7,1.9,34.7,54.0,41.9,6.4,14.6,73513.07240904105,2016-11-01,2,04,BX,BX04
5,5,205,11.8,8.2,28.9,1.3,37.1,58.2,43.5,7.3,12.2,93273.08314332768,2016-11-01,2,05,BX,BX05
6,6,207,17.0,9.6,25.9,6.6,30.8,53.8,45.0,7.2,11.2,72835.59896531179,2016-11-01,2,07,BX,BX07
7,7,208,40.9,19.7,20.6,33.2,18.6,45.1,46.4,5.0,8.9,30802.592540893616,2016-11-01,2,08,BX,BX08
8,8,209,17.2,12.4,24.6,2.7,29.6,49.0,46.2,6.0,9.4,42036.074821083836,2016-11-01,2,09,BX,BX09
9,9,210,27.0,19.0,19.4,26.4,14.3,40.2,44.6,4.3,8.6,18740.858428035826,2016-11-01,2,10,BX,BX10
10,10,211,24.0,14.2,22.6,20.5,20.0,49.4,43.9,6.0,7.5,31467.9169826147,2016-11-01,2,11,BX,BX11
11,11,212,23.9,14.9,22.0,6.2,22.0,48.8,47.8,6.0,9.5,27418.3047321661,2016-11-01,2,12,BX,BX12
12,12,301,47.0,9.3,24.0,61.3,15.4,40.7,34.3,4.0,10.9,36626.118078799846,2016-11-01,3,01,BK,BK01
13,13,302,67.1,9.9,16.6,50.1,12.0,29.9,33.8,4.4,12.9,35007.562325253595,2016-11-01,3,02,BK,BK02
14,14,303,36.3,10.4,22.3,21.5,21.6,44.3,41.6,5.4,15.3,53672.998297835285,2016-11-01,3,03,BK,BK03
15,15,304,28.6,8.8,20.9,18.3,24.6,49.1,41.8,5.3,14.1,55416.11863993545,2016-11-01,3,04,BK,BK04
16,16,305,14.6,11.3,25.7,3.4,28.9,50.8,45.0,4.7,18.0,32793.454166518815,2016-11-01,3,05,BK,BK05
17,17,306,70.8,10.7,21.0,61.6,10.0,27.7,38.0,4.2,7.0,34142.35487359342,2016-11-01,3,06,BK,BK06
