,cd,boro,date,year,month,REFUSETONSCOLLECTED,PAPERTONSCOLLECTED,MGPTONSCOLLECTED,RESORGANICSTONS,fs_openhours,fs_open,trs_permits,paper_baskets,mgp_baskets,total_number_of_households,hh_compost_num,hh_compost_percent,shape_area,wfr_avg_recycling,wfr_avg_refuse,wfr_avg_bulk,bigbelly,seasonal_wire_litter_basket,highend_basket,publicspacereceptacle,wire_basket,total_litter_baskets
0,BK01,BK,2016-11-01,2016,11,5250.4,527.8,402.8,16.9,333.25,6.0,14.0,9.0,9.0,92610,9745,0.10522621747111544,0.0013070536057517652,1.0,3.0,3.0,1.0,0.0,2.0,1.0,10.0,14.0
1,BK01,BK,2016-12-01,2016,12,5409.5,726.3,501.0,11.7,333.25,6.0,14.0,9.0,9.0,92610,9745,0.10522621747111544,0.0013070536057517652,1.0,3.0,3.0,1.0,0.0,2.0,1.0,10.0,14.0
2,BK01,BK,2017-01-01,2017,1,5189.9,589.1,455.2,14.9,333.25,6.0,14.0,9.0,9.0,92610,9745,0.10522621747111544,0.0013070536057517652,1.0,3.0,3.0,1.0,0.0,2.0,1.0,10.0,14.0
3,BK01,BK,2017-02-01,2017,2,4705.4,505.6,395.8,10.5,333.25,6.0,14.0,9.0,9.0,92610,9745,0.10522621747111544,0.0013070536057517652,1.0,3.0,3.0,1.0,0.0,2.0,1.0,10.0,14.0
4,BK01,BK,2017-03-01,2017,3,5476.7,563.0,453.3,10.6,333.25,6.0,14.0,9.0,9.0,92610,9745,0.10522621747111544,0.0013070536057517652,1.0,3.0,3.0,1.0,0.0,2.0,1.0,10.0,14.0
5,BK01,BK,2017-04-01,2017,4,5110.0,574.1,432.8,25.4,333.25,6.0,14.0,9.0,9.0,92610,9745,0.10522621747111544,0.0013070536057517652,1.0,3.0,3.0,1.0,0.0,2.0,1.0,10.0,14.0
6,BK01,BK,2017-05-01,2017,5,5621.4,583.1,456.5,53.5,333.25,6.0,14.0,9.0,9.0,92610,9745,0.10522621747111544,0.0013070536057517652,1.0,3.0,3.0,1.0,0.0,2.0,1.0,10.0,14.0
7,BK01,BK,2017-06-01,2017,6,5386.4,595.2,490.9,66.5,333.25,6.0,14.0,9.0,9.0,92610,9745,0.10522621747111544,0.0013070536057517652,1.0,3.0,3.0,1.0,0.0,2.0,1.0,10.0,14.0
8,BK01,BK,2017-07-01,2017,7,4498.2,499.5,438.3,53.1,333.25,6.0,14.0,9.0,9.0,92610,9745,0.10522621747111544,0.0013070536057517652,1.0,3.0,3.0,1.0,0.0,2.0,1.0,10.0,14.0
9,BK01,BK,2017-08-01,2017,8,4621.9,522.8,473.4,56.1,333.25,6.0,14.0,9.0,9.0,92610,9745,0.10522621747111544,0.0013070536057517652,1.0,3.0,3.0,1.0,0.0,2.0,1.0,10.0,14.0
10,BK01,BK,2017-09-01,2017,9,5339.1,612.0,432.5,55.5,333.25,6.0,14.0,9.0,9.0,92610,9745,0.10522621747111544,0.0013070536057517652,1.0,3.0,3.0,1.0,0.0,2.0,1.0,10.0,14.0
11,BK01,BK,2017-10-01,2017,10,5405.3,563.2,442.4,49.7,333.25,6.0,14.0,9.0,9.0,92610,9745,0.10522621747111544,0.0013070536057517652,1.0,3.0,3.0,1.0,0.0,2.0,1.0,10.0,14.0
12,BK01,BK,2017-11-01,2017,11,5303.2,595.0,465.5,60.0,333.25,6.0,14.0,9.0,9.0,92610,9745,0.10522621747111544,0.0013070536057517652,1.0,3.0,3.0,1.0,0.0,2.0,1.0,10.0,14.0
13,BK01,BK,2017-12-01,2017,12,5094.6,663.0,436.9,44.4,333.25,6.0,14.0,9.0,9.0,92610,9745,0.10522621747111544,0.0013070536057517652,1.0,3.0,3.0,1.0,0.0,2.0,1.0,10.0,14.0
