,variables,decision_tree,random_forest,adaboost,gradient_boost
25,REFUSETONSCOLLECTED_pp,0.15549400047875234,0.12924215557742585,0.0,0.1651562170715512
38,business_sqmi,0.11519552205995792,0.118806251465428,0.11468758146359524,0.11658017231391238
27,MGPTONSCOLLECTED_pp,0.1666797839462134,0.1072233531363528,0.0,0.09090212567812926
26,PAPERTONSCOLLECTED_pp,0.059519008959268156,0.09724250252600805,0.0,0.06021820013806506
17,numbldgs,0.05266033175347492,0.07441824137959618,0.05018387032970985,0.04684990859293329
19,asland_sqft,0.08675777154443719,0.07336396088856438,0.0,0.07627676407659673
18,unitstotal,0.0340077473665235,0.06423000920274376,0.0,0.043655171497249984
28,RESORGANICSTONS_pp,0.024569716977444693,0.04168332511462431,0.015829749204531993,0.03778740470688888
16,pop_density,0.1311040212942133,0.036102816465609124,0.00466701166340969,0.09558577931636753
36,fs_open_sqmi,0.02177131982515484,0.018104056625888803,0.01508286944651019,0.022045248218059914
